year,course,age_group,gender,relay_count,distance,stroke,basetime,basetime_in_sec
2012,S,SCM,F,4,50,MEDLEY,1:42.69,102.69
2012,S,SCM,F,4,100,MEDLEY,3:47.97,227.97
2013,S,LCM,M,1,50,FREE,20.91,20.91
2013,S,LCM,M,1,100,FREE,46.91,46.91
2013,S,LCM,M,1,200,FREE,1:42.00,102.00
2013,S,LCM,M,1,400,FREE,3:40.07,220.07
2013,S,LCM,M,1,800,FREE,7:32.12,452.12
2013,S,LCM,M,1,1500,FREE,14:31.02,871.02
2013,S,LCM,M,1,50,BACK,24.04,24.04
2013,S,LCM,M,1,100,BACK,51.94,51.94
2013,S,LCM,M,1,200,BACK,1:51.92,111.92
2013,S,LCM,M,1,50,BREAST,26.67,26.67
2013,S,LCM,M,1,100,BREAST,58.46,58.46
2013,S,LCM,M,1,200,BREAST,2:07.01,127.01
2013,S,LCM,M,1,50,FLY,22.43,22.43
2013,S,LCM,M,1,100,FLY,49.82,49.82
2013,S,LCM,M,1,200,FLY,1:51.51,111.51
2013,S,LCM,M,1,200,MEDLEY,1:54.00,114.00
2013,S,LCM,M,1,400,MEDLEY,4:03.84,243.84
2013,S,LCM,M,4,100,FREE,3:08.24,188.24
2013,S,LCM,M,4,200,FREE,6:58.55,418.55
2013,S,LCM,M,4,100,MEDLEY,3:27.28,207.28
2013,S,LCM,M,4,50,FREE,1:24.85,84.85
2013,S,LCM,M,4,50,MEDLEY,1:33.43,93.43
2013,S,LCM,F,1,50,FREE,23.73,23.73
2013,S,LCM,F,1,100,FREE,52.07,52.07
2013,S,LCM,F,1,200,FREE,1:52.98,112.98
2013,S,LCM,F,1,400,FREE,3:59.15,239.15
2013,S,LCM,F,1,800,FREE,8:14.10,494.10
2013,S,LCM,F,1,1500,FREE,15:42.54,942.54
2013,S,LCM,F,1,50,BACK,27.06,27.06
2013,S,LCM,F,1,100,BACK,58.12,58.12
2013,S,LCM,F,1,200,BACK,2:04.06,124.06
2013,S,LCM,F,1,50,BREAST,29.80,29.80
2013,S,LCM,F,1,100,BREAST,1:04.45,64.45
2013,S,LCM,F,1,200,BREAST,2:19.59,139.59
2013,S,LCM,F,1,50,FLY,25.07,25.07
2013,S,LCM,F,1,100,FLY,55.98,55.98
2013,S,LCM,F,1,200,FLY,2:01.81,121.81
2013,S,LCM,F,1,200,MEDLEY,2:06.15,126.15
2013,S,LCM,F,1,400,MEDLEY,4:28.43,268.43
2013,S,LCM,F,4,100,FREE,3:31.72,211.72
2013,S,LCM,F,4,200,FREE,7:42.08,462.08
2013,S,LCM,F,4,100,MEDLEY,3:52.05,232.05
2013,S,LCM,F,4,50,FREE,1:36.77,96.77
2013,S,LCM,F,4,50,MEDLEY,1:46.06,106.06
2013,S,SCM,M,1,50,FREE,20.30,20.3
2013,S,SCM,M,1,100,FREE,44.94,44.94
2013,S,SCM,M,1,200,FREE,1:39.37,99.37
2013,S,SCM,M,1,400,FREE,3:32.25,212.25
2013,S,SCM,M,1,800,FREE,7:23.42,443.42
2013,S,SCM,M,1,1500,FREE,14:10.10,850.1
2013,S,SCM,M,1,50,BACK,22.61,22.61
2013,S,SCM,M,1,100,BACK,48.94,48.94
2013,S,SCM,M,1,200,BACK,1:46.11,106.11
2013,S,SCM,M,1,50,BREAST,25.25,25.25
2013,S,SCM,M,1,100,BREAST,55.61,55.61
2013,S,SCM,M,1,200,BREAST,2:00.67,120.67
2013,S,SCM,M,1,50,FLY,21.80,21.8
2013,S,SCM,M,1,100,FLY,48.48,48.48
2013,S,SCM,M,1,200,FLY,1:49.11,109.11
2013,S,SCM,M,1,200,MEDLEY,1:49.63,109.63
2013,S,SCM,M,1,400,MEDLEY,3:55.50,235.5
2013,S,SCM,M,1,100,MEDLEY,50.71,50.71
2013,S,SCM,M,4,50,FREE,1:20.77,80.77
2013,S,SCM,M,4,100,FREE,3:03.30,183.3
2013,S,SCM,M,4,200,FREE,6:49.04,409.04
2013,S,SCM,M,4,50,MEDLEY,1:31.80,91.8
2013,S,SCM,M,4,100,MEDLEY,3:19.16,199.16
2013,S,SCM,F,1,50,FREE,23.25,23.25
2013,S,SCM,F,1,100,FREE,51.01,51.01
